"planning unit","number","available","partial","reserved"
5879,10,9,0,1
5878,10,10,0,0
5877,10,10,0,0
5876,10,10,0,0
5875,10,10,0,0
5874,10,10,0,0
5873,10,10,0,0
5872,10,10,0,0
5871,10,10,0,0
5870,10,10,0,0
5869,10,10,0,0
5868,10,10,0,0
5867,10,10,0,0
5866,10,10,0,0
5865,10,10,0,0
5864,10,10,0,0
5863,10,10,0,0
5862,10,6,0,4
5861,10,10,0,0
5860,10,9,1,0
5859,10,8,1,1
5858,10,10,0,0
5857,10,9,0,1
5856,10,10,0,0
5855,10,9,0,1
5854,10,10,0,0
5853,10,9,0,1
5852,10,10,0,0
5851,10,10,0,0
5850,10,10,0,0
5849,10,10,0,0
5848,10,10,0,0
5847,10,10,0,0
5846,10,10,0,0
5845,10,10,0,0
5844,10,10,0,0
5843,10,10,0,0
5842,10,10,0,0
5841,10,10,0,0
5840,10,10,0,0
5839,10,10,0,0
5838,10,6,0,4
5837,10,10,0,0
5836,10,9,1,0
5835,10,9,0,1
5834,10,8,0,2
5833,10,9,0,1
5832,10,9,0,1
5831,10,10,0,0
5830,10,8,0,2
5829,10,10,0,0
5828,10,9,0,1
5827,10,8,0,2
5826,10,8,0,2
5825,10,9,0,1
5824,10,8,0,2
5823,10,10,0,0
5822,10,10,0,0
5821,10,10,0,0
5820,10,10,0,0
5819,10,10,0,0
5818,10,10,0,0
5817,10,10,0,0
5816,10,10,0,0
5815,10,10,0,0
5814,10,10,0,0
5813,10,9,0,1
5812,10,10,0,0
5811,10,9,0,1
5810,10,8,0,2
5809,10,9,0,1
5808,10,9,1,0
5807,10,9,1,0
5806,10,10,0,0
5805,10,9,0,1
5804,10,8,2,0
5803,10,10,0,0
5802,10,10,0,0
5801,10,10,0,0
5800,10,7,1,2
5799,10,10,0,0
5798,10,9,0,1
5797,10,8,0,2
5796,10,10,0,0
5795,10,10,0,0
5794,10,10,0,0
5793,10,10,0,0
5792,10,10,0,0
5791,10,10,0,0
5790,10,10,0,0
5789,10,10,0,0
5788,10,10,0,0
5787,10,10,0,0
5786,10,9,0,1
5785,10,10,0,0
5784,10,10,0,0
5783,10,8,0,2
5782,10,7,0,3
5781,10,9,0,1
5780,10,7,0,3
5779,10,7,1,2
5778,10,8,1,1
5777,10,7,3,0
5776,10,7,2,1
5775,10,9,0,1
5774,10,6,3,1
5773,10,8,1,1
5772,10,10,0,0
5771,10,9,0,1
5770,10,8,0,2
5769,10,8,0,2
5768,10,10,0,0
5767,10,10,0,0
5766,10,10,0,0
5765,10,10,0,0
5764,10,10,0,0
5763,10,10,0,0
5762,10,10,0,0
5761,10,10,0,0
5760,10,10,0,0
5759,10,10,0,0
5758,10,10,0,0
5757,10,8,1,1
5756,10,9,0,1
5755,10,10,0,0
5754,10,10,0,0
5753,10,8,0,2
5752,10,9,0,1
5751,10,9,0,1
5750,10,9,0,1
5749,10,8,0,2
5748,10,9,0,1
5747,10,6,1,3
5746,10,9,1,0
5745,10,6,4,0
5744,10,6,4,0
5743,10,8,1,1
5742,10,7,3,0
5741,10,10,0,0
5740,10,9,1,0
5739,10,7,0,3
5738,10,9,0,1
5737,10,9,0,1
5736,10,8,0,2
5735,10,9,0,1
5734,10,8,0,2
5733,10,10,0,0
5732,10,10,0,0
5731,10,10,0,0
5730,10,10,0,0
5729,10,10,0,0
5728,10,10,0,0
5727,10,10,0,0
5726,10,10,0,0
5725,10,10,0,0
5724,10,10,0,0
5723,10,10,0,0
5722,10,10,0,0
5721,10,10,0,0
5720,10,8,0,2
5719,10,7,0,3
5718,10,7,0,3
5717,10,9,1,0
5716,10,8,1,1
5715,10,10,0,0
5714,10,9,0,1
5713,10,10,0,0
5712,10,10,0,0
5711,10,8,1,1
5710,10,9,0,1
5709,10,7,2,1
5708,10,6,3,1
5707,10,8,0,2
5706,10,5,1,4
5705,10,8,0,2
5704,10,6,1,3
5703,10,7,1,2
5702,10,7,0,3
5701,10,7,0,3
5700,10,8,1,1
5699,10,5,1,4
5698,10,10,0,0
5697,10,7,1,2
5696,10,9,1,0
5695,10,10,0,0
5694,10,10,0,0
5693,10,10,0,0
5692,10,10,0,0
5691,10,10,0,0
5690,10,10,0,0
5689,10,10,0,0
5688,10,10,0,0
5687,10,10,0,0
5686,10,10,0,0
5685,10,10,0,0
5684,10,10,0,0
5683,10,10,0,0
5682,10,10,0,0
5681,10,10,0,0
5680,10,10,0,0
5679,10,10,0,0
5678,10,9,0,1
5677,10,9,0,1
5676,10,8,0,2
5675,10,10,0,0
5674,10,8,0,2
5673,10,9,1,0
5672,10,9,0,1
5671,10,10,0,0
5670,10,9,0,1
5669,10,9,1,0
5668,10,9,0,1
5667,10,7,0,3
5666,10,4,3,3
5665,10,2,3,5
5664,10,2,1,7
5663,10,7,0,3
5662,10,6,0,4
5661,10,2,0,8
5660,10,5,0,5
5659,10,5,0,5
5658,10,8,0,2
5657,10,3,1,6
5656,10,7,1,2
5655,10,8,0,2
5654,10,9,0,1
5653,10,7,0,3
5652,10,10,0,0
5651,10,10,0,0
5650,10,10,0,0
5649,10,10,0,0
5648,10,10,0,0
5647,10,10,0,0
5646,10,10,0,0
5645,10,10,0,0
5644,10,10,0,0
5643,10,10,0,0
5642,10,10,0,0
5641,10,10,0,0
5640,10,10,0,0
5639,10,10,0,0
5638,10,10,0,0
5637,10,10,0,0
5636,10,10,0,0
5635,10,10,0,0
5634,10,10,0,0
5633,10,9,0,1
5632,10,8,0,2
5631,10,9,1,0
5630,10,9,0,1
5629,10,9,0,1
5628,10,10,0,0
5627,10,7,0,3
5626,10,9,0,1
5625,10,8,2,0
5624,10,8,0,2
5623,10,10,0,0
5622,10,10,0,0
5621,10,10,0,0
5620,10,4,2,4
5619,10,0,2,8
5618,10,10,0,0
5617,10,10,0,0
5616,10,9,0,1
5615,10,8,0,2
5614,10,5,0,5
5613,10,3,0,7
5612,10,6,2,2
5611,10,8,0,2
5610,10,10,0,0
5609,10,10,0,0
5608,10,7,1,2
5607,10,8,0,2
5606,10,7,0,3
5605,10,9,0,1
5604,10,10,0,0
5603,10,10,0,0
5602,10,10,0,0
5601,10,10,0,0
5600,10,10,0,0
5599,10,10,0,0
5598,10,10,0,0
5597,10,10,0,0
5596,10,10,0,0
5595,10,10,0,0
5594,10,10,0,0
5593,10,10,0,0
5592,10,10,0,0
5591,10,10,0,0
5590,10,10,0,0
5589,10,10,0,0
5588,10,10,0,0
5587,10,10,0,0
5586,10,10,0,0
5585,10,10,0,0
5584,10,10,0,0
5583,10,10,0,0
5582,10,9,0,1
5581,10,10,0,0
5580,10,10,0,0
5579,10,9,1,0
5578,10,8,1,1
5577,10,8,0,2
5576,10,9,0,1
5575,10,10,0,0
5574,10,9,0,1
5573,10,9,0,1
5572,10,7,0,3
5571,10,9,0,1
5570,10,8,1,1
5569,10,7,1,2
5568,10,6,0,4
5567,10,7,0,3
5566,10,9,0,1
5565,10,10,0,0
5564,10,10,0,0
5563,10,9,0,1
5562,10,9,0,1
5561,10,4,1,5
5560,10,4,2,4
5559,10,3,3,4
5558,10,10,0,0
5557,10,10,0,0
5556,10,9,0,1
5555,10,7,2,1
5554,10,4,2,4
5553,10,9,0,1
5552,10,7,0,3
5551,10,10,0,0
5550,10,10,0,0
5549,10,10,0,0
5548,10,10,0,0
5547,10,10,0,0
5546,10,10,0,0
5545,10,10,0,0
5544,10,10,0,0
5543,10,10,0,0
5542,10,10,0,0
5541,10,10,0,0
5540,10,10,0,0
5539,10,10,0,0
5538,10,10,0,0
5537,10,10,0,0
5536,10,10,0,0
5535,10,10,0,0
5534,10,10,0,0
5533,10,10,0,0
5532,10,10,0,0
5531,10,10,0,0
5530,10,10,0,0
5529,10,10,0,0
5528,10,10,0,0
5527,10,10,0,0
5526,10,10,0,0
5525,10,10,0,0
5524,10,8,0,2
5523,10,10,0,0
5522,10,8,0,2
5521,10,9,0,1
5520,10,8,0,2
5519,10,9,0,1
5518,10,8,0,2
5517,10,10,0,0
5516,10,8,0,2
5515,10,9,0,1
5514,10,7,0,3
5513,10,8,0,2
5512,10,7,0,3
5511,10,7,0,3
5510,10,6,0,4
5509,10,7,0,3
5508,10,6,0,4
5507,10,10,0,0
5506,10,10,0,0
5505,10,10,0,0
5502,10,10,0,0
5501,10,3,1,6
5500,10,7,0,3
5499,10,4,1,5
5498,10,4,1,5
5497,10,9,1,0
5496,10,5,3,2
5495,10,5,1,4
5494,10,6,2,2
5493,10,8,0,2
5492,10,9,0,1
5491,10,10,0,0
